Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating
854-23-9935,C,Naypyitaw,Member,Male,Fashion accessories,34.75,4,6.95,145.95,01/18/2019,11:37,Cash,139.0,6.95,4.2
833-93-9928,A,Yangon,Member,Male,Food and beverages,64.18,9,28.881,606.501,01/26/2019,16:14,Cash,577.62,28.881,7.5
204-21-7224,A,Yangon,Member,Female,Home and lifestyle,35.01,4,7.002,147.042,02/13/2019,11:22,Cash,140.04,7.002,7.6
733-56-4150,A,Yangon,Normal,Male,Sports and travel,17.09,5,4.2725,89.7225,03/22/2019,11:02,Credit card,85.45,4.2725,5.4
954-56-3664,B,Mandalay,Member,Male,Health and beauty,44.21,8,17.684,371.364,03/23/2019,15:22,Ewallet,353.68,17.684,8.0
488-44-4598,C,Naypyitaw,Member,Male,Food and beverages,75.62,3,11.343,238.203,03/01/2019,20:20,Ewallet,226.86,11.343,5.4
317-93-9179,A,Yangon,Normal,Female,Home and lifestyle,15.96,10,7.98,167.58,02/10/2019,16:56,Credit card,159.6,7.98,6.8
538-84-7543,B,Mandalay,Member,Male,Fashion accessories,60.52,5,15.13,317.73,03/16/2019,15:14,Ewallet,302.6,15.13,7.1
165-59-7252,A,Yangon,Member,Male,Electronic accessories,66.47,7,23.2645,488.5545,03/18/2019,19:29,Credit card,465.29,23.2645,5.5
448-24-5808,C,Naypyitaw,Member,Male,Fashion accessories,89.63,5,22.4075,470.5575,03/24/2019,16:10,Cash,448.15,22.4075,4.0
619-87-4258,C,Naypyitaw,Normal,Male,Food and beverages,92.14,5,23.035,483.735,03/23/2019,12:23,Ewallet,460.7,23.035,7.2
345-17-4946,C,Naypyitaw,Member,Female,Sports and travel,11.75,6,3.525,74.025,02/09/2019,19:05,Ewallet,70.5,3.525,8.4
371-77-7932,A,Yangon,Member,Male,Fashion accessories,52.78,9,23.751,498.771,01/22/2019,13:59,Credit card,475.02,23.751,8.5
629-67-2982,C,Naypyitaw,Member,Female,Sports and travel,99.56,6,29.868,627.228,02/26/2019,13:14,Ewallet,597.36,29.868,6.0
169-14-6413,C,Naypyitaw,Member,Male,Health and beauty,16.39,1,0.8195,17.2095,01/30/2019,11:32,Ewallet,16.39,0.8195,5.7
584-41-8749,B,Mandalay,Member,Male,Fashion accessories,94.2,10,47.1,989.1,03/15/2019,16:12,Ewallet,942.0,47.1,4.6
769-92-2612,B,Mandalay,Normal,Female,Sports and travel,52.03,1,2.6015,54.6315,03/28/2019,10:25,Credit card,52.03,2.6015,6.0
287-45-8579,A,Yangon,Member,Male,Electronic accessories,58.27,3,8.7405,183.5505,02/24/2019,13:55,Ewallet,174.81,8.7405,6.7
871-40-3724,C,Naypyitaw,Member,Male,Fashion accessories,99.94,1,4.997,104.937,01/12/2019,16:31,Cash,99.94,4.997,5.3
902-68-5673,B,Mandalay,Member,Male,Sports and travel,10.19,7,3.5665,74.8965,02/03/2019,16:44,Credit card,71.33,3.5665,10.0
853-79-1998,C,Naypyitaw,Normal,Male,Electronic accessories,36.7,1,1.835,38.535,03/16/2019,15:03,Ewallet,36.7,1.835,7.5
709-18-4853,C,Naypyitaw,Member,Male,Food and beverages,17.21,3,2.5815,54.2115,01/09/2019,16:07,Credit card,51.63,2.5815,5.5
423-43-4346,C,Naypyitaw,Member,Male,Sports and travel,69.16,10,34.58,726.18,03/08/2019,20:45,Cash,691.6,34.58,5.4
569-89-2638,B,Mandalay,Member,Female,Sports and travel,38.46,2,3.846,80.766,01/02/2019,11:34,Ewallet,76.92,3.846,7.0
953-79-5956,A,Yangon,Normal,Male,Electronic accessories,43.26,3,6.489,136.269,02/26/2019,19:51,Credit card,129.78,6.489,7.2
259-44-5616,C,Naypyitaw,Normal,Male,Electronic accessories,33.8,2,3.38,70.98,03/12/2019,19:13,Credit card,67.6,3.38,6.1
749-64-5533,C,Naypyitaw,Normal,Female,Home and lifestyle,91.48,1,4.574,96.054,01/12/2019,10:00,Cash,91.48,4.574,8.6
109-24-2232,C,Naypyitaw,Normal,Male,Fashion accessories,49.77,7,17.4195,365.8095,03/13/2019,12:34,Ewallet,348.39,17.4195,9.0
466-36-5088,C,Naypyitaw,Member,Female,Electronic accessories,13.76,6,4.128,86.688,01/06/2019,20:06,Cash,82.56,4.128,8.7
125-32-6442,B,Mandalay,Member,Male,Electronic accessories,97.86,3,14.679,308.259,02/22/2019,16:51,Credit card,293.58,14.679,9.2
327-35-8541,A,Yangon,Normal,Male,Fashion accessories,19.73,1,0.9865,20.7165,03/02/2019,15:19,Ewallet,19.73,0.9865,5.3
459-92-9346,C,Naypyitaw,Member,Female,Home and lifestyle,35.07,2,3.507,73.647,02/05/2019,16:43,Credit card,70.14,3.507,6.0
211-86-8119,A,Yangon,Member,Female,Electronic accessories,62.25,5,15.5625,326.8125,01/05/2019,15:46,Cash,311.25,15.5625,6.6
101-76-9821,C,Naypyitaw,Member,Female,Food and beverages,27.11,1,1.3555,28.4655,02/25/2019,20:46,Credit card,27.11,1.3555,8.4
421-94-3041,A,Yangon,Normal,Female,Health and beauty,95.4,6,28.62,601.02,03/21/2019,14:32,Cash,572.4,28.62,8.0
488-96-3851,B,Mandalay,Normal,Female,Food and beverages,21.46,7,7.511,157.731,03/27/2019,19:36,Cash,150.22,7.511,6.4
770-51-8618,A,Yangon,Normal,Female,Electronic accessories,48.69,10,24.345,511.245,03/19/2019,17:28,Credit card,486.9,24.345,5.3
195-40-6085,B,Mandalay,Member,Male,Home and lifestyle,56.39,10,28.195,592.095,02/12/2019,13:51,Ewallet,563.9,28.195,4.9
524-90-4185,A,Yangon,Member,Female,Food and beverages,86.48,2,8.648,181.608,02/28/2019,16:31,Cash,172.96,8.648,5.5
151-81-5082,C,Naypyitaw,Member,Male,Sports and travel,29.7,9,13.365,280.665,03/01/2019,11:29,Ewallet,267.3,13.365,8.8
950-80-8305,C,Naypyitaw,Normal,Female,Food and beverages,83.35,9,37.5075,787.6575,02/24/2019,12:47,Cash,750.15,37.5075,6.7
830-46-4841,A,Yangon,Normal,Female,Fashion accessories,31.53,8,12.612,264.852,01/10/2019,14:21,Cash,252.24,12.612,9.4
165-63-7678,A,Yangon,Member,Male,Electronic accessories,44.47,3,6.6705,140.0805,01/28/2019,15:34,Cash,133.41,6.6705,6.5
489-71-1096,A,Yangon,Normal,Female,Food and beverages,95.15,1,4.7575,99.9075,03/15/2019,15:19,Cash,95.15,4.7575,9.1
498-53-7624,B,Mandalay,Member,Female,Electronic accessories,34.56,8,13.824,290.304,01/04/2019,12:53,Cash,276.48,13.824,9.5
758-64-3223,C,Naypyitaw,Member,Female,Food and beverages,60.8,1,3.04,63.84,01/11/2019,17:11,Ewallet,60.8,3.04,5.6
870-63-5133,B,Mandalay,Member,Female,Home and lifestyle,40.38,7,14.133,296.793,02/05/2019,11:30,Ewallet,282.66,14.133,8.5
353-35-1333,A,Yangon,Normal,Male,Fashion accessories,16.18,1,0.809,16.989,01/04/2019,19:09,Ewallet,16.18,0.809,4.8
720-87-2876,C,Naypyitaw,Member,Male,Sports and travel,72.95,6,21.885,459.585,01/22/2019,12:19,Ewallet,437.7,21.885,7.5
950-90-4978,B,Mandalay,Normal,Female,Fashion accessories,27.85,10,13.925,292.425,03/30/2019,11:44,Cash,278.5,13.925,9.1
